Frequency,G_off/G_on
20118000000.0,(0.9081974711697407+0.3873781048399939j)
20120000000.0,(0.9081062827078601+0.3874867740650233j)
20122000000.0,(0.9080119347037664+0.38760297112960757j)
20124000000.0,(0.9079145708844976+0.38772683982622724j)
20126000000.0,(0.9078143382779964+0.3878585238956769j)
20128000000.0,(0.9077113873247646+0.38799816697975953j)
20130000000.0,(0.9076058719895244+0.3881459125700156j)
20132000000.0,(0.9074979498728785+0.38830190395241365j)
20134000000.0,(0.9073877823229474+0.3884662841479156j)
20136000000.0,(0.9072755345469661+0.3886391958488359j)
20138000000.0,(0.9071613757227971+0.38882078135090287j)
20140000000.0,(0.9070454791103298+0.3890111824809299j)
20142000000.0,(0.9069280221627171+0.3892105405200014j)
20144000000.0,(0.9068091866373938+0.3894189961220722j)
20146000000.0,(0.9066891587068197+0.38963668922788036j)
20148000000.0,(0.9065681290688751+0.3898637589740666j)
20150000000.0,(0.9064462930568357+0.39010034359739415j)
20152000000.0,(0.9063238507488397+0.39034658033395797j)
20154000000.0,(0.9062010070767571+0.3906026053132721j)
20156000000.0,(0.9060779719343556+0.3908685534471212j)
20158000000.0,(0.9059549602846605+0.3911445583130595j)
20160000000.0,(0.9058321922663823+0.3914307520324446j)
20162000000.0,(0.9057098932992885+0.39172726514288303j)
20164000000.0,(0.90558829418838+0.3920342264649729j)
20166000000.0,(0.9054676312267245+0.3923517629632239j)
20168000000.0,(0.905348146296796+0.39267999960103633j)
20170000000.0,(0.9052300869701408+0.3930190591896199j)
20172000000.0,(0.9051137066052032+0.39336906223073526j)
20174000000.0,(0.904999264443117+0.39373012675314334j)
20176000000.0,(0.904887025701264+0.3941023681426452j)
20178000000.0,(0.9047772616643858+0.3944858989656003j)
20180000000.0,(0.9046702497730346+0.3948808287858174j)
20182000000.0,(0.9045662737091144+0.39528726397470243j)
20184000000.0,(0.9044656234782789+0.395705307514571j)
20186000000.0,(0.9043685954889216+0.39613505879501537j)
20188000000.0,(0.9042754926274843+0.39657661340224215j)
20190000000.0,(0.9041866243298045+0.397030062901284j)
20192000000.0,(0.9041023066481991+0.3974954946110076j)
20194000000.0,(0.9040228623139785+0.39797299137184095j)
20196000000.0,(0.9039486207950622+0.3984626313061526j)
20198000000.0,(0.9038799183483649+0.3989644875712225j)
20200000000.0,(0.9038170980665917+0.399478628104756j)
20202000000.0,(0.9037605099190874+0.4000051153629002j)
20204000000.0,(0.9037105107863567+0.40054400605073426j)
20206000000.0,(0.9036674644878586+0.40109535084521586j)
20208000000.0,(0.9036317418026801+0.4016591941105831j)
20210000000.0,(0.9036037204826513+0.40223557360621637j)
20212000000.0,(0.903583785257484+0.4028245201869927j)
20214000000.0,(0.9035723278314791+0.40342605749616856j)
20216000000.0,(0.9035697468713382+0.4040402016508502j)
20218000000.0,(0.9035764479846117+0.4046669609201328j)
20220000000.0,(0.903592843688293+0.40530633539600097j)
20222000000.0,(0.9036193533670585+0.4059583166571098j)
20224000000.0,(0.9036564032206417+0.4066228874255863j)
20226000000.0,(0.9037044261998223+0.40730002121701525j)
