Frequency,G_off/G_on
20110000000.0,(0.9764705015613573+0.37233423641517743j)
20112000000.0,(0.9770298444179151+0.3735282211936885j)
20114000000.0,(0.9776147759158227+0.3747342499498208j)
20116000000.0,(0.9782257744591657+0.3759521984292139j)
20118000000.0,(0.9788633291329729+0.37718193662495025j)
20120000000.0,(0.9795279398854724+0.37842332837943393j)
20122000000.0,(0.9802201177109644+0.3796762309731568j)
20124000000.0,(0.9809403848330249+0.3809404946996348j)
20126000000.0,(0.981689274887685+0.3822159624257712j)
20128000000.0,(0.9824673331062527+0.3835024691368991j)
20130000000.0,(0.9832751164973575+0.3847998414657234j)
20132000000.0,(0.9841131940278045+0.38610789720438343j)
20134000000.0,(0.9849821468017631+0.38742644479882155j)
20136000000.0,(0.9858825682377901+0.38875528282463817j)
20138000000.0,(0.9868150642431301+0.39009419944358886j)
20140000000.0,(0.9877802533847067+0.39144297183985977j)
20142000000.0,(0.9887787670561522+0.3928013656352421j)
20144000000.0,(0.989811249640188+0.3941691342823063j)
20146000000.0,(0.9908783586655967+0.3955460184346534j)
20148000000.0,(0.99198076495798+0.3969317452933121j)
20150000000.0,(0.9931191527834264+0.39832602792832095j)
20152000000.0,(0.9942942199841477+0.39972856457452843j)
20154000000.0,(0.9955066781050703+0.40113903790061595j)
20156000000.0,(0.9967572525102931+0.4025571142503474j)
20158000000.0,(0.9980466824882444+0.4039824428550212j)
20160000000.0,(0.9993757213442735+0.4054146550160967j)
20162000000.0,(1.000745136479339+0.40685336325695465j)
20164000000.0,(1.0021557094533422+0.4082981604427437j)
20166000000.0,(1.0036082360315632+0.4097486188672581j)
20168000000.0,(1.0051035262125398+0.41120428930578856j)
20170000000.0,(1.0066424042356217+0.4126647000328961j)
20172000000.0,(1.0082257085663038+0.41412935580405036j)
20174000000.0,(1.0098542918573217+0.4155977368001006j)
20176000000.0,(1.0115290208833487+0.41706929753354643j)
20178000000.0,(1.0132507764469973+0.418543465715606j)
20180000000.0,(1.0150204532536742+0.4200196410831008j)
20182000000.0,(1.0168389597526781+0.4214971941842096j)
20184000000.0,(1.018707217941774+0.4229754651221944j)
20186000000.0,(1.0206261631322808+0.4244537622562338j)
20188000000.0,(1.022596743671555+0.4259313608585795j)
20190000000.0,(1.0246199206195363+0.42740750172730746j)
20192000000.0,(1.026696667375841+0.42888138975402595j)
20194000000.0,(1.0288279692536628+0.4303521924459928j)
20196000000.0,(1.031014822996545+0.43181903840220576j)
20198000000.0,(1.033258236233835+0.4332810157431587j)
20200000000.0,(1.0355592268704363+0.4347371704940932j)
20202000000.0,(1.0379188224061864+0.43618650492173455j)
20204000000.0,(1.0403380591799816+0.4376279758246897j)
20206000000.0,(1.0428179815334908+0.439060492777881j)
20208000000.0,(1.0453596408890342+0.4404829163316125j)
20210000000.0,(1.0479640947359579+0.44189405616613264j)
20212000000.0,(1.0506324055195346+0.4432926692028144j)
