Frequency,G_off/G_on
20156000000.0,(0.8817273571747754+0.6265928021928041j)
20158000000.0,(0.8834952440941188+0.6263819981962628j)
20160000000.0,(0.885261039666314+0.6261553909177919j)
20162000000.0,(0.8870247303107991+0.6259130208045824j)
20164000000.0,(0.8887863014411932+0.6256549271877018j)
20166000000.0,(0.8905457374791034+0.6253811483240098j)
20168000000.0,(0.8923030218671233+0.6250917214372993j)
20170000000.0,(0.8940581370810492+0.6247866827586974j)
20172000000.0,(0.895811064641332+0.6244660675663535j)
20174000000.0,(0.8975617851237759+0.6241299102244353j)
20176000000.0,(0.8993102781695159+0.6237782442214711j)
20178000000.0,(0.9010565224942717+0.6234111022080493j)
20180000000.0,(0.9028004958969077+0.6230285160339073j)
20182000000.0,(0.9045421752673064+0.6226305167844312j)
20184000000.0,(0.9062815365935651+0.6222171348165821j)
20186000000.0,(0.9080185549685355+0.6217883997942748j)
20188000000.0,(0.9097532045957067+0.6213443407232202j)
20190000000.0,(0.9114854587944574+0.62088498598526j)
20192000000.0,(0.9132152900046646+0.6204103633721965j)
20194000000.0,(0.9149426697906994+0.6199205001191442j)
20196000000.0,(0.9166675688448017+0.6194154229374091j)
20198000000.0,(0.9183899569898504+0.6188951580469134j)
20200000000.0,(0.9201098031815311+0.6183597312081779j)
20202000000.0,(0.9218270755099067+0.6178091677538675j)
20204000000.0,(0.9235417412004014+0.6172434926199175j)
20206000000.0,(0.9252537666141968+0.6166627303762419j)
20208000000.0,(0.9269631172480458+0.6160669052570367j)
20210000000.0,(0.9286697577335162+0.6154560411906826j)
20212000000.0,(0.930373651835653+0.6148301618292552j)
20214000000.0,(0.9320747624510773+0.6141892905776413j)
20216000000.0,(0.9337730516055163+0.613533450622274j)
20218000000.0,(0.9354684804507659+0.6128626649594806j)
20220000000.0,(0.9371610092610979+0.6121769564234506j)
20222000000.0,(0.9388505974291054+0.6114763477138241j)
20224000000.0,(0.9405372034609887+0.6107608614228934j)
20226000000.0,(0.9422207849712916+0.6100305200624296j)
20228000000.0,(0.943901298677082+0.6092853460901163j)
20230000000.0,(0.9455787003915819+0.6085253619356008j)
20232000000.0,(0.9472529450172542+0.607750590026149j)
20234000000.0,(0.9489239865383364+0.6069610528119039j)
20236000000.0,(0.9505917780128376+0.6061567727907403j)
20238000000.0,(0.9522562715639911+0.6053377725327046j)
20240000000.0,(0.953917418371173+0.604504074704041j)
20242000000.0,(0.955575168660284+0.6036557020907835j)
20244000000.0,(0.9572294716936006+0.6027926776219117j)
20246000000.0,(0.958880275759103+0.6019150243920576j)
20248000000.0,(0.9605275281592779+0.6010227656837492j)
20250000000.0,(0.9621711751994068+0.6001159249891812j)
20252000000.0,(0.9638111621753414+0.599194526031498j)
20254000000.0,(0.9654474333607769+0.5982585927855736j)
20256000000.0,(0.9670799319940228+0.5973081494982757j)
20258000000.0,(0.9687086002642917+0.5963432207081956j)
20260000000.0,(0.9703333792974979+0.5953638312648278j)
20262000000.0,(0.9719542091415897+0.5943700063471838j)
20264000000.0,(0.9735710287514189+0.5933617714818171j)
20266000000.0,(0.9751837759731592+0.5923391525602472j)
20268000000.0,(0.9767923875282889+0.5913021758557564j)
20270000000.0,(0.9783967989971454+0.5902508680395449j)
20272000000.0,(0.9799969448020774+0.5891852561962228j)
20274000000.0,(0.9815927581901958+0.5881053678386101j)
20276000000.0,(0.9831841712157536+0.5870112309218394j)
20278000000.0,(0.9847711147221655+0.5859028738567224j)
20280000000.0,(0.9863535183236917+0.5847803255223694j)
20282000000.0,(0.987931310386803+0.5836436152780374j)
20284000000.0,(0.9895044180112559+0.5824927729741796j)
20286000000.0,(0.9910727670108953+0.5813278289626825j)
20288000000.0,(0.992636281894215+0.58014881410626j)
20290000000.0,(0.9941948858447054+0.5789557597869869j)
20292000000.0,(0.9957485007010112+0.5777486979139509j)
20294000000.0,(0.9972970469369368+0.5765276609299973j)
20296000000.0,(0.9988404436413278+0.5752926818175493j)
20298000000.0,(1.0003786084978668+0.5740437941034808j)
20300000000.0,(1.0019114577648132+0.572781031863023j)
20302000000.0,(1.0034389062547329+0.5715044297226843j)
20304000000.0,(1.0049608673142534+0.570214022862168j)
20306000000.0,(1.0064772528038837+0.5689098470152671j)
20308000000.0,(1.0079879730779486+0.567591938469722j)
20310000000.0,(1.0094929369646766+0.5662603340660252j)
20312000000.0,(1.0109920517464883+0.5649150711951614j)
20314000000.0,(1.0124852231405423+0.5635561877952688j)
20316000000.0,(1.0139723552795743+0.5621837223472116j)
20318000000.0,(1.0154533506930943+0.5607977138690547j)
20320000000.0,(1.0169281102889889+0.5593982019094406j)
20322000000.0,(1.0183965333355816+0.5579852265398487j)
20324000000.0,(1.0198585174442154+0.5565588283457541j)
20326000000.0,(1.0213139585524058+0.5551190484166689j)
